row_num,content_id,content_type,created_at,body_preview
16,post_100905856,post,2026-04-20 06:23:30,"Allen Brown Here's the 2nd of the 3 Call Sheets you requested, this one contains the resources that offer general funding to help veterans in need in/around the Los Angeles, CA area. Let me know if you have any questions! As a professional resource coordinator researching on behalf of veteran clients in LA County , I have identified 25 verified government offices, non-profits, and charitable funds active as of April 2026 . In Los Angeles, veteran support is largely decentralized through the SSVF"
17,comment_146906316,comment,2026-04-20 06:18:32,Allen Brown How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
18,comment_146906310,comment,2026-04-20 06:18:02,"Allen Brown Here's a link to the Lesko Meta Grant Report! There are several sections throughout this report that will contain grant info for several things you're wanting to accomplish, like getting a car for your non-profit and general funding opportunities to help you assist the veterans in your area! Just browse the entire report when you have time! Lesko Meta Grants Reports 2025 https://docs.google.com/document/d/1-i34IfpANc15ZFWwYjnc20psletS4flzmKHU2tQarN0/edit?usp=sharing"
19,post_100905273,post,2026-04-20 06:13:31,"Allen Brown Here's the 1st of 3 total Call Sheets you requested during the live event! This one contains the resources that will help you with promotion of suicide awareness amongst the veterans in the Los Angeles, CA area. If you have any questions just let me know! Hopefully you were able to join Megan Prater's live last night, I'll still include a link for her non-profit class on Sunday's just in case! As a professional resource coordinator researching on your behalf in LA County , I have ide"
20,post_100899917,post,2026-04-20 02:50:58,"This email links to nothing. I have searched everywhere for this video: How to Find Funding for Your Dreams—Even When Everyone Says"" No"""
21,post_100898398,post,2026-04-20 01:04:56,"Just providing some feedback here. I paid for 6 months up front, about 6 months ago. I’m extremely disappointed that the contests only lasted for 2 months for me. It was a big selling point. I also bought the upsell for about $60. The email instructions to obtain the upsell were completely incorrect, and I never could find the resource. I was told to ask here, but I feel as a business, the links to resources that were purchased should be accurate in the email. I would have also expected 1 on 1 s"
22,comment_146899578,comment,2026-04-20 00:46:39,I love this opportunity!
23,comment_146897913,comment,2026-04-19 23:44:47,�� ������
24,comment_146896954,comment,2026-04-19 23:11:28,sorry I missed you
25,comment_146896903,comment,2026-04-19 23:09:45,Ethel Grant great post
26,comment_146896839,comment,2026-04-19 23:07:35,"Michigan, rain and snow ❄️ today"
27,post_100896179,post,2026-04-19 22:30:58,I got lost obsessing over your tube videos and trying to do on iPhone and then my new iPad for better understanding �� �� �� so I guess I was overly excited and overwhelmed myself darn it .Ijust love everything about you and was excited to try it out for just a dollar �� �� �� next t ime I’ll be prepared
28,comment_146894743,comment,2026-04-19 21:54:04,"Half and half , relaxed but also gearing up for week ahead. Popped into Tony’s zoom spent time reviewing video lessons"
29,post_100895457,post,2026-04-19 21:32:39,"I'm a working-class citizen whom, love to meet and help people as much as possible!"
30,comment_146893764,comment,2026-04-19 21:22:12,Cynthia Morgan How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
31,comment_146890809,comment,2026-04-19 19:52:00,Confused
32,comment_146888892,comment,2026-04-19 18:52:40,I’m here today I’m looking forward to tomorrow
33,comment_146886939,comment,2026-04-19 17:57:48,All of them
34,comment_146886633,comment,2026-04-19 17:48:55,Collective community like this
35,comment_146884466,comment,2026-04-19 16:48:02,Blessed
36,comment_146876975,comment,2026-04-19 12:43:39,B) Federal grant. And I still haven't forgotten about your lunch money ����
37,comment_146873626,comment,2026-04-19 09:24:04,��
38,comment_146872968,comment,2026-04-19 08:15:04,Thank you so much for your help
39,post_100878418,post,2026-04-19 03:31:00,The two most important days in your life are the day you are born and the day you find out why. —Mark Twain
40,comment_146868531,comment,2026-04-19 02:37:13,B
41,comment_146868273,comment,2026-04-19 02:21:07,B
42,comment_146868198,comment,2026-04-19 02:17:41,Ive found legit grants on Lesko Helps
43,comment_146868189,comment,2026-04-19 02:17:11,B
44,comment_146868185,comment,2026-04-19 02:17:07,B
45,comment_146868172,comment,2026-04-19 02:16:38,B
46,comment_146867257,comment,2026-04-19 01:35:27,Hear hear! Thank you for the quick reply
47,comment_146866463,comment,2026-04-19 00:58:42,My format is different on the phone
48,comment_146866430,comment,2026-04-19 00:57:15,Yes thank you
49,comment_146866067,comment,2026-04-19 00:43:02,��
50,comment_146863824,comment,2026-04-18 23:12:58,��
51,comment_146863638,comment,2026-04-18 23:05:40,��
52,comment_146862257,comment,2026-04-18 22:09:11,��
53,post_100875128,post,2026-04-18 21:32:01,Sorry for being the squeaky wheel but trying to figure out where the info that Tony promised me is?
54,comment_146857806,comment,2026-04-18 19:40:15,"Melissa Mapps It's fixed now! Again, so sorry.."
55,comment_146857692,comment,2026-04-18 19:36:55,Oh my gosh I'm so sorry Melissa.. I'll change it now..
56,comment_146856833,comment,2026-04-18 19:07:41,What was the small resource Amber?
57,post_100873052,post,2026-04-18 19:04:38,how do yoyu cancel your accouint
58,comment_146851553,comment,2026-04-18 16:24:06,20
59,comment_146849745,comment,2026-04-18 15:30:52,A
60,comment_146840314,comment,2026-04-18 09:30:23,"Omg, me too! ��‍♀️ My finger is SO tired from refreshing! �� What are you waiting for, is it something super exciting?! ✨"
61,comment_146840312,comment,2026-04-18 09:30:19,"Aww, so sweet! �� Hope you have the best night too! ✨��"
62,comment_146840308,comment,2026-04-18 09:30:10,"Oh wow, a live workshop! �� That sounds so cool, applying together! ✨ I always get stuck on applications! �� This is gonna be so helpful! �� Do I need two devices for sure? ��"
63,comment_146839089,comment,2026-04-18 07:51:35,Thank you very much Misty
64,comment_146831750,comment,2026-04-18 01:29:29,Sabrina�� Giesler are you available to talk? Pls let me know
65,post_100846631,post,2026-04-18 01:03:08,Amber Littlefield greetings Amber I'm Trish b. I've been having trouble getting the replays it requires password s please help! I'm specifically interested in Megan Pater Symposiums. Date 4/3/26 please help
66,comment_146830683,comment,2026-04-18 00:56:42,D
67,comment_146830100,comment,2026-04-18 00:39:41,A and C are great
68,comment_146828633,comment,2026-04-17 23:53:23,Misty Fowlds you're too awesome! Thanks so much !!
69,comment_146828405,comment,2026-04-17 23:47:31,All of the above and also treat myself to something magnificent or exciting.
70,comment_146827002,comment,2026-04-17 23:13:14,Hi Misty!! Thank you so much for your responses! I’m going to look into it!
71,comment_146826767,comment,2026-04-17 23:06:30,Thanks ����
72,comment_146824950,comment,2026-04-17 22:12:24,A and C for sure ��
73,comment_146824573,comment,2026-04-17 22:01:23,B
74,comment_146822816,comment,2026-04-17 21:12:22,Greetings Amber! I'm Trish b and I've been requesting the password code for replays and everyone (BENNY)seems to be directing me to YOU! IM LOOKING SPECIFICALLY FOR MEGAN P 4/3/26 but I REALLY NEED THESE PASSCODES BECAUSE DURING THE SYMPOSIUM'S I GET KICKED OFF A LOT (SORRY CAPS IT'S NOT ALLOWING SMALL CASE ) PLEASE HELP! IVE MISSED SO MUCH. THX IN ADVANCE
75,comment_146822692,comment,2026-04-17 21:09:13,I don't stare at my phone constantly
76,comment_146822652,comment,2026-04-17 21:08:00,I apologize for my late reply
77,comment_146822635,comment,2026-04-17 21:07:44,I apologize for the late reply
78,comment_146819833,comment,2026-04-17 19:56:27,Thank You Misty. I shall call them first thing Monday
79,comment_146819489,comment,2026-04-17 19:46:33,Thank You for the replies. I'll be there next week. Got a little diverted after work last night. And thank you for the encouragement
80,comment_146812679,comment,2026-04-17 17:02:04,I'm just now starting to learn how to do it.
81,comment_146809760,comment,2026-04-17 15:56:10,The Lesko Meta Grants report file is not working
82,comment_146803716,comment,2026-04-17 13:46:40,"Yay! A Q&amp;A! I love those! ✨ I always have so many questions about grants! �� Amber L is so good at explaining things! I hope I can make it! �� Getting clarity is my favorite! And feeling supported! �� It's so nice not to be alone! �� Should I bring all my links? Like, *all* of them? �� Oh, I should definitely get ready! I need to write down everything confusing! �� Staying the full hour sounds good! I always learn so much from other people's questions! ��"
83,comment_146803694,comment,2026-04-17 13:46:19,"Wow, an AI workshop! �� That sounds super cool and helpful! I wonder if it'll really make calling easier! ��✨"
84,comment_146803685,comment,2026-04-17 13:46:10,OMG this is so exciting! �� I've been waiting for a sign! ✨ Is it really all day?! ��‍♀️
85,comment_146803683,comment,2026-04-17 13:46:05,So many good things! �� Hope your day is super amazing too! ��✨
86,comment_146800926,comment,2026-04-17 12:34:54,The link won’t open
87,comment_146797323,comment,2026-04-17 10:27:31,Look up things to keep groundhogs from digging up my backyard
88,comment_146797284,comment,2026-04-17 10:26:07,Will be looking toward to this event
89,comment_146791925,comment,2026-04-17 05:10:36,"Thank you so very much for your kind words. If it wasn't for what I Iearned here, I may not have pushed through. I only have a month with you wonderful people so Im soaking it all in and you are welcome."
90,comment_146788071,comment,2026-04-17 02:13:04,In your state
91,comment_146785846,comment,2026-04-17 01:07:31,"Thank you so much for this, and responding. I will check these out. thank you"
92,comment_146782222,comment,2026-04-16 23:28:44,"I’m new here too, Francisco! I’d love the answer to your question as well!"
93,comment_146778363,comment,2026-04-16 21:48:51,Hockey!
94,comment_146778062,comment,2026-04-16 21:40:52,Those look neat.
95,comment_146777690,comment,2026-04-16 21:32:39,Misty thank you so much for all of the information. I appreciate it ��
96,comment_146774717,comment,2026-04-16 20:26:50,Thank you
97,post_100795757,post,2026-04-16 20:26:10,"If you need a PDF viewer, Adobe offers a free version of Acrobat Reader. You can use it to export the spreadsheets you create in the Grant AI Workspaces, use it to download Amber Hawkins weekly Small Business Grant Review, or use it for downloads outside the Lesko Help 2 platform! You can download it for free here : PDF reader: The original PDF solution | Adobe Acrobat Reader https://share.google/9sQjh0XUIZrijlrfZ"
98,comment_146773611,comment,2026-04-16 20:02:16,"Lol, I mean thank you so much."
99,comment_146773582,comment,2026-04-16 20:01:42,Thank do much!
100,comment_146772797,comment,2026-04-16 19:43:21,Laurel Fennerty How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
101,comment_146772767,comment,2026-04-16 19:42:43,Laurel Fennerty Here's the link to the Vehicle Series! It contains info for more grants and programs to help you also pay for car repairs in your area! https://docs.google.com/document/d/1MNMZTbuZ2whth6jUzUQceCpVPErBhHzBBV1xZsqlJJM/edit?usp=sharing
102,comment_146772368,comment,2026-04-16 19:33:30,Following :)
103,comment_146771666,comment,2026-04-16 19:17:32,Is the Leskodollar.com the same as my membership I already have?
104,comment_146771300,comment,2026-04-16 19:08:57,Ahmad Rana How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
105,comment_146771274,comment,2026-04-16 19:08:26,Ahmad Rana Here's the link for the Debt Collection &amp; Settlement Guide. Just in case you need this info in the future! https://docs.google.com/document/d/1NINIrKe7OnSEIpsbFA4X-G17zBROHyKctm9u0ZgFOxo/edit?usp=sharing
106,comment_146771241,comment,2026-04-16 19:07:43,Ahmad Rana Here's the link for the Credit &amp; Debt Series. There's tons of info in this doc to help you navigate resources to help you with your credit card debt and your credit! https://docs.google.com/document/d/1YuJPX5M9_vK7IfGulygqC9yB9YAeeUXqVxjjd9rOvYM/edit?usp=sharing
107,post_100792482,post,2026-04-16 18:45:20,Ahmad Rana Here's the link for your free counseling search results from hud.gov! https://answers.hud.gov/housingcounseling/s/mapresults?optionPage=false&amp;queryTerm=12205&amp;selectedOptionValue=Managing%20or%20Budgeting%20Your%20Finances&amp;selectedStateValues&amp;agencyName&amp;selectedLanguagevalues&amp;pageSize=10&amp;selectedDistanceValue=900&amp;selectedCounselingmethodsvalues=Video%20Conference&amp;language=en_US
108,comment_146769987,comment,2026-04-16 18:41:23,Giulia May | Community Manager fantastic
109,comment_146768490,comment,2026-04-16 18:10:51,"I will get on this as soon as I get done and get home on a computer, thank you very much. I did mention my location on the message board. I am in Marina, CA 93933 in Central California thank you for all of your help and assistance."
110,post_100791165,post,2026-04-16 18:08:46,My location is in Marina ZIP Code 93933 in California Central Coast
111,comment_146767396,comment,2026-04-16 17:44:41,Thank you
112,post_100788714,post,2026-04-16 16:55:20,"Almost ready to retire early. I have been a solder tech for government contractors all of my life. It hasn't brought me any money, just personal satisfaction."
113,comment_146764826,comment,2026-04-16 16:51:44,Ok I have not yet heard from Sabrina�� Giesler
114,comment_146761195,comment,2026-04-16 15:38:46,Lol...I get the feeling the photo is refusing to download!
115,post_100785348,post,2026-04-16 15:34:42,"Nicole Markets is a Houston-based small business owner and marketing expert specializing in athlete brand management, sports marketing, and strategic consulting for small businesses, influencers, and hospitality brands. Founder of The Marketing Chicks and partner at E4 Athlete, she helps clients build positioned, profitable brands through integrated branding and digital marketing strategies. Would you like a version tailored for a specific use (e.g., LinkedIn About section, website bio, Instagra"
116,comment_146760931,comment,2026-04-16 15:33:30,Sheep
117,post_100785103,post,2026-04-16 15:28:18,"Can i request a meeting with my moderator, or do i just have to wait for a live qna or something, im not the best when it comes to technology"
118,comment_146754539,comment,2026-04-16 13:24:41,Good morning ��
119,comment_146754377,comment,2026-04-16 13:21:24,It's not! We go over resources and strategies to help you based on your specific situation. I'll be live today at 2:15pm Eastern for a Q&amp;A. If you can join then we can go over the same material together in real time!
120,comment_146754147,comment,2026-04-16 13:16:26,Just use the Search Bar at the top of the screen! If you're on your phone it'll be the Magnifying Glass icon at the top. Type in your entire name and it'll show you everything that's been shared with you..
121,comment_146741707,comment,2026-04-16 03:42:27,Ok thank you and if we need to talk we can I always want to help others as they have helped me:)
122,post_100752003,post,2026-04-16 02:22:52,"Hi, I’m Eddie, joining Lesko Help 2 to explore the Instagram video prompts that kept appearing. I’m here to see where I can lend a hand with understanding and finding free resources and programs that can make a real difference. I’m all about learning together and sharing what I discover along the way."
123,post_100751911,post,2026-04-16 02:17:55,"Hi, I’m James. I joined Lesko Help 2 to access grants that can empower others and make a real difference in their lives. With leadership, teaching, and ministry experience, I aim to guide and support others as we navigate funding options together, while cherishing how I appreciate God’s creation in everything I do. Note: This keeps to 3 sentences, first-person, under 100 words, and uses the given elements without fabricating facts."
124,comment_146737629,comment,2026-04-16 01:32:27,Thank you looking forward to your insights
125,post_100749291,post,2026-04-15 23:07:54,"Also, regarding the Grants Drop-In Clinic on Thursday, Does this run into the evening, I work until 430 and i wont be able to sign in until after work?"
126,comment_146719642,comment,2026-04-15 18:34:05,Thank you! ��
127,comment_146717217,comment,2026-04-15 17:43:45,Thank you
128,comment_146716878,comment,2026-04-15 17:37:03,Thank you
129,comment_146716701,comment,2026-04-15 17:33:21,Christian Kepler
130,comment_146716631,comment,2026-04-15 17:31:58,Thank you for your help.
131,comment_146716576,comment,2026-04-15 17:30:54,Christian Kepler
132,comment_146716531,comment,2026-04-15 17:29:52,Thank You ��
133,comment_146714387,comment,2026-04-15 16:48:52,Unfortunately I can’t make it to this session because I’m at a meeting at work. I always miss this one because it’s always during my work hours. Is there a way I can get a recording of session sent to me so I can watch later tonight?
134,comment_146713822,comment,2026-04-15 16:38:29,Where do we search again for past lists Tony has made for us?
135,post_100737331,post,2026-04-15 16:16:23,please unscripted my subscription
136,comment_146711478,comment,2026-04-15 15:52:03,Right on I appreciate that! I don’t work for the government Not a teacher Just a blue collar dude making my way !
137,comment_146711326,comment,2026-04-15 15:49:20,Will it be a replay ?
138,comment_146710478,comment,2026-04-15 15:33:59,Yes ma’am thank you! Washington DC
139,post_100733799,post,2026-04-15 14:54:23,"Hi! Is the monthly mighty app the same as the, ask Lesko one on one ? And the same monthly fees? Ty"
140,post_100732653,post,2026-04-15 14:34:39,Hi everyone it’s a beautiful day today I hope you’re enjoying it God bless you all
141,post_100732294,post,2026-04-15 14:31:29,Leave in Florida
142,post_100728138,post,2026-04-15 12:48:30,I forget to say I'm from Chicago
143,comment_146701480,comment,2026-04-15 12:32:01,Good Morning
144,comment_146697087,comment,2026-04-15 10:16:35,OMG a Tuesday night blessing! �� So sweet! �� You're the bestest! ✨��
145,comment_146697078,comment,2026-04-15 10:16:20,OMG! �� So sweet! �� You too! ✨️�� What a lovely message! ��
146,comment_146697074,comment,2026-04-15 10:16:15,OMG! �� So many good wishes!! ✨ I hope YOUR day is super amazing too! ������
147,comment_146697071,comment,2026-04-15 10:16:10,Oh my gosh! �� So sweet!! �� You too!! ���� I hope you have the best dreams ever! ✨✨
148,comment_146697068,comment,2026-04-15 10:16:04,OMG this is SO sweet!! ���� All those good vibes are gonna make today amazing! ✨✨ Love it!! ��
149,post_100697506,post,2026-04-15 05:57:04,"Hi everyone, I’m Vicki and I joined Lesko Help 2 as soon as I saw it was only $1—I’d never had the chance before, and I’m here to learn and grow with you all. I bring empathy and a genuine care for what others are going through, and I’d love to help you navigate the world of free financial assistance and resources. People often say I’m very friendly and comforting, which I’ll try to bring to every chat as we explore grants, programs, and practical steps together."
150,post_100694065,post,2026-04-15 04:23:01,"Hi, I’m Todd, and I joined Lesko Help 2 after listening to Matt’s interview on Coast to Coast. I bring a wealth of life experiences to the community, sharing what I’ve learned so others can navigate funding options with confidence. My personality shines through as I connect, encourage, and support others aiming to access free resources and grants for a brighter financial future."
151,comment_146684799,comment,2026-04-15 01:21:26,Matthew Lesko
152,comment_146684789,comment,2026-04-15 01:21:12,Amber Littlefield
153,comment_146684732,comment,2026-04-15 01:19:29,The owner of the company is KIRK CARMICHAEL he also wrote this book
154,comment_146684509,comment,2026-04-15 01:14:05,"Who can I talk to about a company I’m promoting to help people to pay no more tax, be tax free?"
155,comment_146684463,comment,2026-04-15 01:13:05,Tammie Larson
156,comment_146684449,comment,2026-04-15 01:12:52,Sabrina�� Giesler
157,post_100689042,post,2026-04-15 00:04:09,"Hey Tony Woodworth , I'm looking forward to seeing what you found for me! Thanks so much."
158,comment_146681091,comment,2026-04-14 23:46:38,gotcha!
159,comment_146673265,comment,2026-04-14 20:37:47,Im trying to get on the zoom for 2dayd and it is not letting me
160,comment_146667314,comment,2026-04-14 18:32:04,I don’t get home until 430 Dallas Texas time
161,comment_146667162,comment,2026-04-14 18:29:05,"Hi, I found myself in the Lesko AI- Call sheet. There is plenty to look into. Unfortunately, everyone of the call buttons do not give a number and when you click on the button it does nothing. Not sure what to do about that. On a better note I have contacted a good bit of programs today on other links."
162,comment_146651527,comment,2026-04-14 13:20:10,Thank you so much.
163,comment_146650086,comment,2026-04-14 12:47:16,"Thank you so much! This will help us a lot! How do I copy this message, when I try to select it, it won't let me select it to copy it? Android app."
164,comment_146649743,comment,2026-04-14 12:39:27,Good morning Michelle
165,comment_146644254,comment,2026-04-14 09:21:10,Take a thumb drive with you and then when you're done working the machine at the library should give you the option of downloading your files or be deleting them
166,comment_146640569,comment,2026-04-14 05:53:16,Linda Starkey How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
167,post_100648059,post,2026-04-14 05:52:40,"Linda Starkey Here's the 3rd Call Sheet for resources that will cover the building materials needed to do the repairs on your home yourselves! Let me know if you have any questions! As a professional resource coordinator researching on behalf of senior clients in Augusta, Montana , I have identified 25 verified government offices, non-profits, and charitable entities that provide grants, materials, or ""grant-like"" funding for home repairs as of April 2026 . In rural Montana, programs that provid"
168,comment_146640510,comment,2026-04-14 05:50:24,Linda Starkey How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
169,comment_146640502,comment,2026-04-14 05:50:09,Linda Starkey Here's a link to the Vehicle Series! Browse through it and check out the resources that are available for car repairs! https://docs.google.com/document/d/1MNMZTbuZ2whth6jUzUQceCpVPErBhHzBBV1xZsqlJJM/edit?usp=sharing
170,post_100647897,post,2026-04-14 05:48:36,"Linda Starkey Here's the 2nd Call Sheet you requested, this one contains the resources that will help you pay for car repairs in your area! You can also reference section #6 in the Lesko Meta Grant report for more info! Let me know if you have any questions! As a professional resource coordinator researching for clients in Augusta, Montana , I have identified 25 verified government offices, non-profits, and charitable funds that provide assistance for emergency vehicle repairs or ""grant-like"" tr"
171,comment_146640430,comment,2026-04-14 05:46:46,Linda Starkey How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
172,comment_146640417,comment,2026-04-14 05:46:05,Linda Starkey Here's a link to the Home Repair Series! It contains tons of additional information about grants that can help you pay for home repairs no matter where you live! Lesko Meta Grants Reports 2025 https://docs.google.com/document/d/1-i34IfpANc15ZFWwYjnc20psletS4flzmKHU2tQarN0/edit?usp=sharing
173,post_100647685,post,2026-04-14 05:43:19,"Linda Starkey Here's the 1st of 4 total Call Sheets you requested! This one contains the resources that will help you pay for home repairs in Augusta, Montana! Let me know if you have any questions! As a professional resource coordinator researching on your behalf in Augusta, Montana , I have identified 25 verified government offices, non-profits, and charitable programs that provide active home repair grants and ""grant-like"" assistance as of April 2026 . In rural Montana, the primary source for"
174,comment_146635683,comment,2026-04-14 02:26:30,""" Ever applied for a grant and felt like you needed a PhD in paperwork?"" My GIF comment reflected what the boy (in the picture before me) might be thinking. And what grant seekers may say when starting out."
175,post_100642525,post,2026-04-14 01:49:34,"Hi, currently I’m not able to use my MacBook. Are we allowed to login online to a public computer, take steps, and keep notes in the App/online Acct we can access?"
176,comment_146632052,comment,2026-04-14 00:28:01,Hello my name is Eraina Smith. I'm new kinda… would anyone mind directing me in to the area where I can change my payment method? I've checked under accounts first before asking but I just can't seem to locate it. Much appreciated������
177,post_100639885,post,2026-04-13 22:55:41,You need my city and state: Sacramento California
178,post_100638709,post,2026-04-13 21:57:35,"Hello Mathew team, i am an affiliate marketer for a company that can help people with their taxes, meaning processing paperwork to pay no more income taxes by filing EXEMPT. Who can I talk to that I’m able to share this information with that can help our community?"
179,comment_146622493,comment,2026-04-13 20:56:56,"Grant does not need to be repaid. Another way to look at it is ""I grant you your wish"" or ""I freely grant you your wish."""
180,comment_146609853,comment,2026-04-13 16:45:36,Thank you so much checking it out now!
181,comment_146609765,comment,2026-04-13 16:43:42,Thank you Misty Fowlds !
182,comment_146592912,comment,2026-04-13 10:24:35,Good morning to you and to all?
183,comment_146589543,comment,2026-04-13 07:00:15,"Wow, what a super lovely message! �� So many good things all at once! ✨ My heart just feels so warm reading this! �� Sending it all right back! ����"
184,comment_146589540,comment,2026-04-13 07:00:06,"Omg, yes! �� You too, you too! �� Sweetest dreams ever! ✨�� So much peace! ��"
185,comment_146582386,comment,2026-04-13 01:27:04,Please contact me when you will present it! Thanks!
186,post_100591713,post,2026-04-13 01:09:40,I'm 59 years young. I have 4 adult children and 8 grandchildren. I'm a child of the Most High God! I'm in an amazing church tribe that is all about being the hands and feet of King Jesus and furthering the Kingdom!
187,post_100590983,post,2026-04-13 00:09:01,"So update on my event im building. The idaho food bank is onboard . Their nutritionist is on board and excited. They also suggested i reach out to the local food pantrys to help with organizing the food drive . Ive started sending emails out to other idaho bussinesses for partnerships, sponsor and or donations however they feel they can make the buggest impact they choose. To aid in the success of the first even and the anual events to come.. The city of mountain home representative directed me "
188,comment_146575648,comment,2026-04-12 21:48:21,I have zygomatic arch similarly and I appreciate any suggestion to her question.
189,comment_146567344,comment,2026-04-12 17:58:16,How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
190,comment_146567342,comment,2026-04-12 17:58:08,"Andre Price Here's a link for the Lesko Meta Grant report! There are 2 sections in this report I want you to focus on. The first is section #15, that's the section for medical expenses, like her surgery. The second is section #13, that section is for seniors. So, there may be some extra material in there for you! Lesko Meta Grants Reports 2025 https://docs.google.com/document/d/1-i34IfpANc15ZFWwYjnc20psletS4flzmKHU2tQarN0/edit?usp=sharing"
191,comment_146567218,comment,2026-04-12 17:54:56,Andre Price How To Bookmark (Save) a Post Have you ever worried that you won't be able to find a post again later that contains a lot of answers for you? https://lesko-help-2.mn.co/posts/how-to-save-a-post-to-return-to-time-and-again-54192534
192,comment_146567203,comment,2026-04-12 17:54:40,"Andre Price Also, here's the link for the Caregivers Series! There's several pages of grant info in this doc for Caregivers. Let me know what you think! https://docs.google.com/document/d/1Fye0d17UOWxVAKMI-56fVcmO6PLTPZvq2Zw-2WAYVIk/edit?usp=sharing"
193,comment_146567159,comment,2026-04-12 17:53:34,Andre Price Here's a link to the Lesko Meta Grant report! Check out the Best New Programs for 2026 near the top of the report for more Caregiver grants! Lesko Meta Grants Reports 2025 https://docs.google.com/document/d/1-i34IfpANc15ZFWwYjnc20psletS4flzmKHU2tQarN0/edit?usp=sharing
